file,line,type,library,icon_name,context,label
scripts\libs\Editor\RotateModulesWithoutOverlapping\Utils\compareEdges.ts,8,ReactIcons,react-icons/bi (Boxicons),BiDirectionConstraintEdge,"a: Edge<BiDirectionConstraintEdge>,",bi direction constraint edge
scripts\state\Viewsheds\components\ViewshedSvg.tsx,48,SVG_inline,Inline SVG,(inline),<svg,
styles\buttons.scss,361,SCSS_url,SCSS background-image,./images/icons/obstruction-elevation-icon.svg,"background: url(""./images/icons/obstruction-elevation-icon.svg"") 49% 49% no-repeat;",obstruction elevation icon
styles\buttons.scss,366,SCSS_url,SCSS background-image,./images/icons/trash-icon.svg,"background: url(""./images/icons/trash-icon.svg"") 52% 49% no-repeat;",trash icon
styles\buttons.scss,375,SCSS_url,SCSS background-image,./images/icons/drone-images-icon.svg,"background-image: url(""./images/icons/drone-images-icon.svg"");",drone images icon
styles\buttons.scss,381,SCSS_url,SCSS background-image,./images/icons/category-icon.svg,"background-image: url(""./images/icons/category-icon.svg"");",category icon
styles\buttons.scss,387,SCSS_url,SCSS background-image,./images/icons/exports.svg,"background-image: url(""./images/icons/exports.svg"");",exports
styles\buttons.scss,411,SCSS_url,SCSS background-image,./images/icons/selector-icon-01.svg,"background-image: url(""./images/icons/selector-icon-01.svg"");",selector icon 01
styles\buttons.scss,414,SCSS_url,SCSS background-image,./images/icons/project-thumbnail-icon.svg,"background-image: url(""./images/icons/project-thumbnail-icon.svg"");",project thumbnail icon
styles\dialogs.scss,110,FontAwesome,SCSS FA unicode,\f00d,"content: ""\f00d"";",\f00d
styles\main.scss,48,SCSS_url,SCSS background-image,images/icons/select-arrow.svg,background-image: url('images/icons/select-arrow.svg');,select arrow
styles\main.scss,421,SCSS_url,SCSS background-image,./images/icons/iframe-play-button-no-contour.png,background: url('./images/icons/iframe-play-button-no-contour.png') no-repeat;,iframe play button no contour
styles\main.scss,1089,SCSS_url,SCSS background-image,images/icons/ui-icons_777777_256x240.png,background-image: url(images/icons/ui-icons_777777_256x240.png) !important;,ui icons 777777 256x240
styles\main.scss,1093,SCSS_url,SCSS background-image,images/icons/ui-icons_777777_256x240-white.png,background-image: url(images/icons/ui-icons_777777_256x240-white.png) !important;,ui icons 777777 256x240 white
